Country,Currency Name,Code A,Code N,Country_2,Currency_2,Currency_Symbol,Country_currency,Currency_code,Symbol
Dominican Republic,Dominican Peso,DOP,214,Serbia,Serbia Dinar,Дин.,Lebanon Pound,LBP,£
Ecuador,US Dollar (plus Ecuadorian centavo coins),USD,840,Seychelles,Seychelles Rupee,₨,Liberia Dollar,LRD,$
Egypt,Egyptian Pound,EGP,818,Singapore,Singapore Dollar,$,Macedonia Denar,MKD,ден
El Salvador,US Dollar,"
USD","
840",Solomon Islands,Solomon Islands Dollar,$,Malaysia Ringgit,MYR,RM
Equatorial Guinea,CFA Franc BEAC,XAF,950,Somalia,Somalia Shilling,S,Mauritius Rupee,MUR,₨
Eritrea,Nakfa,ERN,232,South Africa,South African Rand,R,Mexico Peso,MXN,$
Estonia,Euro replaced Estonian Kroon in 2011.,EEK,233,Sri Lanka,Sri Lanka Rupee,Rs,Mongolia Tughrik,MNT,₮
Ethiopia,Ethiopian Birr,ETB,230,Sweden,Sweden Krona,kr,Moroccan-dirham,MNT, د.إ
Falkland Islands (Malvinas),Falkland Islands pound,FKP,238,Switzerland,Switzerland Franc,CHF,Mozambique Metical,MZN,MT
Faroe Islands,Faroese króna ,FOK,208,Syria,Syrian Pound,£,Namibia Dollar,NAD,$
Fiji,Fiji Dollar,FJD,242,Taiwan,Taiwan New Dollar,NT$,Nepal Rupee,NPR,₨
Finland,"Euro
","EUR
","978
",Thailand,Thailand Baht,฿,Netherlands Antilles Guilder,ANG,ƒ
France,"Euro
","EUR
","978
",Trinidad and Tobago,Trinidad and Tobago Dollar   ,TT$,New Zealand Dollar,NZD,$
French Guiana,Euro,EUR,978,Turkey,Turkish Lira,₺,Nicaragua Cordoba,NIO,C$
French Polynesia,CFP Franc,XPF,953,Ukraine,Ukrainian Hryvnia,₴,Nigeria Naira,NGN,₦
French Southern Territories,Euro,EUR,978,United Kingdom,Pounds Sterling,£,Norway Krone,NOK,kr
Gabon,CFA Franc BEAC,XAF,950,United States,US Dollar,$,Oman Rial,OMR,﷼
Gambia,Dalasi,GMD,270,Uruguay,Uruguayan Peso,$,Pakistan Rupee,PKR,₨
Georgia,Lari,GEL,981,Uzbekistan,Uzbekistan,UZS,Panama Balboa,PAB,B/.
Germany,"Euro
","EUR
","978
",Venezuela,Bolivar Fuerte,Bs F,Paraguay Guarani,PYG,Gs
Ghana,Cedi,GHC,288,Vietnam,Vietnamese Dong,₫,Peru Sol,PEN,S/.
Gibraltar,Gibraltar Pound,GIP,292,Yemen,Yemeni Rial,﷼,Philippines Peso,PHP,₱
Greece,"Euro
","EUR
","978
",Zimbabwe,Zimbabwe Dollar,$,Poland Zloty,PLN,zł
Greenland,Danish Krone,DKK,208,,,,Qatar Riyal,QAR,﷼
Grenada,East Caribbean Dollar,XCD,951,,,,Romania Leu,RON,lei
Guadeloupe,Euro,EUR,978,,,,Russia Ruble,RUB,₽
Guam,US Dollar,USD,840,,,,Saint Helena Pound,SHP,£
Guatemala,Quetzal,GTQ,320,,,,Saudi Arabia Riyal,SAR,﷼
Guinea,Guinea Franc,GNF,324,,,,Serbia Dinar,RSD,Дин.
Guinea-Bissau,Guinea-Bissau Peso,GWP,624,,,,,,
Guinea-Bissau,"
CFA Franc BCEAO","
XOF","
952",,,,Seychelles Rupee,SCR,₨
